"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"05.01.2025","1,0793","1,0706","1,1095","1,0526","196,08M","0,82%"
"04.01.2025","1,0705","1,0891","1,1136","1,0566","213,50M","-1,71%"
"03.01.2025","1,0891","0,9618","1,1184","0,9578","455,37M","13,23%"
"02.01.2025","0,9618","0,9211","0,9813","0,9211","250,44M","4,43%"
"01.01.2025","0,9211","0,8453","0,9349","0,8383","216,35M","8,96%"
"31.12.2024","0,8453","0,8615","0,8782","0,8405","155,74M","-1,87%"
"30.12.2024","0,8614","0,8589","0,9043","0,8307","224,97M","0,30%"
"29.12.2024","0,8589","0,8895","0,9120","0,8517","142,98M","-3,44%"
"28.12.2024","0,8895","0,8769","0,8995","0,8665","113,73M","1,44%"
"27.12.2024","0,8769","0,8610","0,9141","0,8554","202,55M","1,84%"
"26.12.2024","0,8610","0,9174","0,9278","0,8514","169,58M","-6,14%"
"25.12.2024","0,9174","0,9358","0,9398","0,9010","127,95M","-1,97%"
"24.12.2024","0,9358","0,9264","0,9500","0,8922","206,04M","1,00%"
"23.12.2024","0,9265","0,8839","0,9418","0,8627","280,88M","4,83%"
"22.12.2024","0,8838","0,9045","0,9245","0,8601","278,38M","-2,29%"
"21.12.2024","0,9045","0,9511","0,9974","0,8872","337,50M","-4,89%"
"20.12.2024","0,9510","0,8810","0,9584","0,7627","667,68M","7,94%"
"19.12.2024","0,8810","0,9698","0,9886","0,8502","506,81M","-9,15%"
"18.12.2024","0,9697","1,0511","1,0590","0,9644","439,40M","-7,73%"
"17.12.2024","1,0510","1,0778","1,1111","1,0429","325,99M","-2,49%"
"16.12.2024","1,0778","1,0993","1,1192","1,0475","292,52M","-1,95%"
"15.12.2024","1,0993","1,0612","1,1113","1,0408","192,38M","3,59%"
"14.12.2024","1,0612","1,1209","1,1324","1,0443","197,24M","-5,31%"
"13.12.2024","1,1207","1,1232","1,1296","1,0794","248,44M","-0,22%"
"12.12.2024","1,1232","1,0870","1,1816","1,0735","420,91M","3,33%"
"11.12.2024","1,0870","1,0216","1,1140","0,9733","445,02M","6,40%"
