"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"05.01.2025","0,9998","0,9999","1,0000","0,9997","131,80M","-0,02%"
"04.01.2025","0,9999","0,9996","1,0000","0,9995","232,33M","0,04%"
"03.01.2025","0,9996","0,9992","0,9998","0,9991","685,62M","0,04%"
"02.01.2025","0,9992","0,9983","0,9994","0,9983","581,71M","0,08%"
"01.01.2025","0,9983","0,9984","0,9986","0,9980","419,75M","-0,01%"
"31.12.2024","0,9984","0,9984","0,9992","0,9984","791,50M","0,00%"
"30.12.2024","0,9984","0,9985","0,9993","0,9976","1,26B","0,00%"
"29.12.2024","0,9985","0,9984","0,9990","0,9982","416,73M","0,01%"
"28.12.2024","0,9984","0,9986","0,9987","0,9983","259,56M","-0,03%"
"27.12.2024","0,9986","0,9990","0,9991","0,9981","838,88M","-0,03%"
"26.12.2024","0,9990","0,9992","0,9994","0,9989","722,27M","-0,02%"
"25.12.2024","0,9992","0,9993","0,9994","0,9989","280,13M","-0,02%"
"24.12.2024","0,9993","0,9988","0,9995","0,9984","1,03B","0,06%"
"23.12.2024","0,9988","0,9991","0,9993","0,9985","975,87M","-0,03%"
"22.12.2024","0,9991","0,9995","0,9996","0,9989","650,59M","-0,03%"
"21.12.2024","0,9995","0,9996","0,9998","0,9994","679,70M","-0,02%"
"20.12.2024","0,9996","0,9992","0,9999","0,9985","1,60B","0,04%"
"19.12.2024","0,9992","0,9995","0,9997","0,9980","1,60B","-0,03%"
"18.12.2024","0,9995","1,0000","1,0001","0,9989","1,55B","-0,04%"
"17.12.2024","1,0000","1,0001","1,0002","0,9996","1,34B","-0,01%"
"16.12.2024","1,0001","0,9996","1,0003","0,9992","1,18B","0,04%"
"15.12.2024","0,9997","0,9997","1,0000","0,9994","382,24M","-0,01%"
"14.12.2024","0,9997","1,0001","1,0001","0,9997","372,06M","-0,04%"
"13.12.2024","1,0001","1,0001","1,0003","0,9998","1,10B","0,00%"
"12.12.2024","1,0001","1,0006","1,0007","1,0000","887,55M","-0,05%"
"11.12.2024","1,0006","1,0006","1,0011","1,0001","2,14B","0,01%"
"10.12.2024","1,0006","1,0005","1,0007","1,0000","1,15B","0,01%"
"09.12.2024","1,0005","1,0006","1,0009","0,9993","1,39B","-0,02%"
"08.12.2024","1,0006","1,0008","1,0008","1,0003","592,27M","-0,02%"
"07.12.2024","1,0008","1,0014","1,0014","1,0007","621,47M","-0,06%"
"06.12.2024","1,0014","1,0009","1,0018","1,0001","1,25B","0,05%"
"05.12.2024","1,0009","1,0014","1,0021","1,0003","1,68B","-0,05%"
"04.12.2024","1,0014","1,0008","1,0024","1,0004","1,15B","0,07%"
"03.12.2024","1,0008","1,0004","1,0009","0,9997","715,96M","0,04%"
"02.12.2024","1,0004","1,0007","1,0008","1,0001","992,19M","-0,03%"
"01.12.2024","1,0007","1,0006","1,0009","1,0003","318,16M","0,00%"
"30.11.2024","1,0006","1,0004","1,0007","1,0003","382,20M","0,02%"
"29.11.2024","1,0004","1,0002","1,0013","1,0001","669,68M","0,03%"
"28.11.2024","1,0002","1,0009","1,0011","1,0001","743,91M","-0,08%"
"27.11.2024","1,0009","0,9997","1,0015","0,9996","964,56M","0,12%"
"26.11.2024","0,9997","1,0001","1,0007","0,9994","682,52M","-0,02%"
"25.11.2024","1,0000","1,0008","1,0010","0,9997","1,03B","-0,08%"
"24.11.2024","1,0008","1,0005","1,0011","1,0001","644,18M","0,02%"
"23.11.2024","1,0005","1,0007","1,0020","1,0003","1,11B","-0,03%"
"22.11.2024","1,0008","1,0009","1,0011","1,0003","2,07B","0,00%"
"21.11.2024","1,0009","1,0007","1,0009","0,9998","1,19B","0,01%"
"20.11.2024","1,0007","1,0012","1,0014","1,0004","1,40B","-0,04%"
"19.11.2024","1,0012","1,0006","1,0014","1,0004","947,24M","0,06%"
"18.11.2024","1,0006","1,0001","1,0011","0,9998","658,84M","0,05%"
"17.11.2024","1,0001","1,0003","1,0004","0,9998","593,35M","-0,03%"
"16.11.2024","1,0004","1,0003","1,0005","1,0001","413,11M","0,00%"
"15.11.2024","1,0003","1,0000","1,0005","0,9997","698,21M","0,03%"
"14.11.2024","1,0000","1,0012","1,0012","0,9998","1,39B","-0,11%"
"13.11.2024","1,0012","1,0009","1,0024","1,0008","1,78B","0,03%"
"12.11.2024","1,0009","1,0011","1,0018","1,0002","1,63B","-0,02%"
"11.11.2024","1,0011","1,0006","1,0021","1,0005","1,22B","0,05%"
"10.11.2024","1,0006","1,0004","1,0009","1,0002","746,58M","0,02%"
"09.11.2024","1,0004","1,0006","1,0006","1,0002","493,61M","-0,02%"
